id,participant_id,trial_id,selected_candidate_id,participant_history_count,selected_utility,ability_mean,ability_sd,predictive_p_correct
1,1,3,add_carry_01,0,0.20632017693897833,-4.330710052721787e-17,0.9995132699913303,0.4793472034972018
2,1,4,sub_td_03,1,0.21224422860323688,-0.3960481245914669,0.9111774258232216,0.5010492565585727
3,1,5,sub_td_01,2,0.21636490626374036,-0.7486412498592435,0.8439557631250487,0.4898224503641417
4,1,6,add_td_01,3,0.21881929150406385,-1.0499719631003528,0.7920630044126925,0.46754100150335437
5,1,7,sub_sd_02,4,0.2184674811261713,-1.3069271387870516,0.7509449708940216,0.5652051995548392
6,1,8,add_td_02,5,0.22168182540745823,-1.0884829503426305,0.7011274162221509,0.43562671735253644
7,1,9,add_sd_03,6,0.21530930049939945,-1.2807657610036831,0.6705368058143186,0.6160638866181881
8,1,10,sub_td_02,7,0.21707795471846605,-1.1231619374808164,0.6355076452725219,0.38247826686374214
9,1,11,add_sd_02,8,0.2124208820382883,-1.264549757280585,0.6121265209531075,0.6426133998377108
10,1,12,add_sd_04,9,0.21434521463002046,-1.4879261558594161,0.5945487935536964,0.6381852385982412
11,1,13,add_td_03,10,0.18542555486022527,-1.3687604814298795,0.5695518400514887,0.2693258301509054
12,1,14,add_carry_03,11,0.16324187275276744,-1.1466260238488244,0.5486818463342618,0.21988661539012205
13,1,15,sub_borrow_01,12,0.15805930522250355,-1.2094120718272199,0.536563077401564,0.20925403405865428
14,1,16,add_carry_02,13,0.14478641506526121,-1.2666034448948762,0.5261633394684205,0.18498438307342363
15,1,17,sub_borrow_03,14,0.1406500318942332,-1.3153404602175054,0.5175670876714771,0.17764863894418453
16,1,18,sub_borrow_02,15,0.1284733594510471,-1.3606368386422352,0.5099606267947483,0.15777158506435218
17,2,21,add_carry_01,0,0.20632017693897833,-4.330710052721787e-17,0.9995132699913303,0.4793472034972018
18,2,22,sub_td_03,1,0.21224422860323688,-0.3960481245914669,0.9111774258232216,0.5010492565585727
19,2,23,add_carry_03,2,0.21466901632670513,-0.04493174295458963,0.8370479054959241,0.4469894265676489
20,2,24,add_carry_02,3,0.2203102859133415,0.29069578783419836,0.7811217160800428,0.4977216654391953
21,2,25,sub_borrow_01,4,0.22215459981603927,0.023902851704496138,0.7294991160953367,0.4607523863135623
22,2,26,sub_borrow_03,5,0.22575790727772618,0.2796565732895981,0.6893383768118116,0.49527267619478516
23,2,27,mix_02,6,0.2275821615042525,0.49561579741791467,0.6580250687052221,0.49876038246277765
24,2,28,mix_01,7,0.22865492432709905,0.6926326209453226,0.6330637925680602,0.5208930284019335
25,2,29,sub_borrow_02,8,0.23043129219344355,0.5020523784587034,0.5989980588021082,0.5233996082473173
26,2,30,div_02,9,0.22211750774186767,0.3290830172251157,0.5722311831134146,0.39217214293700436
27,2,31,add_td_03,10,0.22130493392579292,0.209564180146224,0.5519684519799734,0.6168964279598856
28,2,32,mul_sd_01,11,0.22338160637332724,0.31877815799221537,0.5336139753862953,0.3889722879691373
29,2,33,div_01,12,0.2266888121861015,0.48215076422658987,0.5181453806572323,0.4028612251893425
30,2,34,mul_sd_02,13,0.22292770920475724,0.38024058008311823,0.5017170764716485,0.37962500803599747
31,2,35,mul_td_01,14,0.21280676603456816,0.2898690731663296,0.48806421571541403,0.3377595560187487
32,2,36,sub_td_02,15,0.20619243079966518,0.2134805477151574,0.47681154643394996,0.6843124535476899
33,3,39,add_carry_01,0,0.20632017693897833,-4.330710052721787e-17,0.9995132699913303,0.4793472034972018
34,3,40,sub_td_03,1,0.21224422860323688,-0.3960481245914669,0.9111774258232216,0.5010492565585727
35,3,41,add_carry_03,2,0.21466901632670513,-0.04493174295458963,0.8370479054959241,0.4469894265676489
36,3,42,add_td_03,3,0.22034924591411512,-0.3162140018026625,0.7804828274101502,0.4966297798170207
37,3,43,sub_td_02,4,0.22294837171976606,-0.582005925799963,0.7369418171232219,0.5043529666991411
38,3,44,sub_td_01,5,0.22034740620570495,-0.34263606070545094,0.6897349482104426,0.5801217587223153
39,3,45,sub_borrow_01,6,0.2220293029792106,-0.16227385175306222,0.6550895609899959,0.4181121440703679
40,3,46,add_carry_02,7,0.22678437940267251,0.06522103103600176,0.6275647190850417,0.44620249773629395
41,3,47,sub_borrow_03,8,0.2238000318542972,-0.09586231452308179,0.5983687883796815,0.40950776858990406
42,3,48,add_td_02,9,0.21746698900308747,-0.23133194290614464,0.5755148157606202,0.6292531506686896
43,3,49,sub_borrow_02,10,0.2208538145311741,-0.1168982741758673,0.5549031187744938,0.38157531157213026
44,3,50,add_td_01,11,0.21333478086045518,-0.2267366003154349,0.5367476615885868,0.6529314906475141
45,3,51,mix_02,12,0.1987339308351808,-0.4038334119586074,0.5222405483169487,0.2990730347980236
46,3,52,mix_01,13,0.18551198831569762,-0.48083636119047884,0.5101179604225303,0.2645854416023487
47,3,53,div_02,14,0.18420963684465358,-0.29958372649882803,0.49354074004917964,0.260438520868569
48,3,54,mul_sd_01,15,0.17939415765040986,-0.35999538685453836,0.48397645875941736,0.24907954516640915
